Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,12505584,R,2010,COACH,MOTORHOME,MOTORHOME, ,BURN,BURN, ,TX,NX,EXM,E,5ZT3CH1B8AA301340,0,N,0,0, , , , , ,DEFAULT,On Approval,0, ,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20140106/12505584_1.JPG,2016-05-29-12.30.47.210946, ,N,0
2,CA - SACRAMENTO,20160531,TUESDAY,1200,PDT,879,28802374,L,2000,UTIL,TRAILER,TRAILER, ,WHITE,ALL OVER, ,BC,VR,EXM,N,2LDPA4828YC032756,0,E,12000,0, , , , , ,DEFAULT,On Minimum Bid,10,FOR CANADIAN EXPORT ONLY,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20140909/28802374_1.JPG,2016-05-29-12.30.47.210946,1HV14,N,0
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,33885834,L,1985,UTIL,TRAILER,TRAILER, ,BLUE,ROLLOVER,MISSING/ALTERED VIN,CA,AN,EXM,E,1UYFF2266DC989501,0,E,8925,0, , , , , ,DEFAULT,On Approval,0, ,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20140806/33885834_01.JPG,2016-05-29-12.30.47.210946, ,N,0
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,36538654,R,1998,OTHR,DUTCH STAR,DUTCH STAR, ,BURN,BURN, ,CA,AN,EXM,E,3FCMF53G8VJA28396,0,E,22700,0, , , , , ,DEFAULT,On Approval,0, ,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20141006/36538654_1.JPG,2016-05-29-12.30.47.210946, ,N,0
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,16389415,M,1967,FAIR,BOAT,BOAT, ,WHITE,BURN,MISSING/ALTERED VIN,CA,AN,EXM,E,31097,0,E,10000,0, , , , , ,DEFAULT,On Approval,0,VEH LOC @ FRUITRIDGE SUBLOT,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20150129/16389415_1.JPG,2016-05-29-12.30.47.210946, ,N,0
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,17766525,K,1997,FORD,F250,F250,PICKUP,WHITE,ALL OVER, ,CA,SC,EXM,N,3FTHF25H6VMA67203,0,E,2050,0,5.8L  8,Rear-wheel drive,5 SPEED MANUAL W/OVE,GAS,8,DEFAULT, ,0,VEH LOC @ FRUITRIDGE SUBLOT,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20150217/17766525_1.JPG,2016-05-29-12.30.47.210946, ,N,0
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,20344915,M,1975,PACM,BOAT,BOAT, ,RED,REAR END, ,CA,AN,EXM,E,WN905G,0,E,0,0, , , , , ,DEFAULT, ,0,DISMANTLER ONLY,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20150325/20344915_01.JPG,2016-05-29-12.30.47.210946, ,N,0
2,CA - SACRAMENTO,20160531,TUESDAY,1200,PDT,4112,22110105,V,2008,DODGE,CARAVAN,GRAND CARA,EXTENDED,RED,FRONT END, ,CA,SC,YES,S,1D8HN44H18B128728,102825,A,8720.2,5832.23,3.3L  6,Front-wheel Drive,4 SPEED AUTOMATIC,FLEXIBLE FUEL,6,Vehicle Starts,On Minimum Bid,70, ,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20150421/22110105_01.JPG,2016-05-29-12.30.47.210946,SE004,N,0
2,CA - SACRAMENTO,20160531,TUESDAY,1200,PDT,12,26321155,V,2001,CHEVROLET,ASTRO,ASTRO VAN,EXTENDED,BLUE,FRONT END,SIDE,CA,SC,YES,D,1GNDM19W31B130631,190417,A,3826.95,0,4.3L  6,Rear-wheel drive,4 SPEED AUTOMATIC W/,GAS,6,Run & Drive Verified, ,125, ,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20150619/26321155_01.JPG,2016-05-29-12.30.47.210946,SD002,N,0
2,CA - SACRAMENTO,20160607,TUESDAY,1200,PDT,0,26383225,R,1983,CHEVROLET,P SERIES,P30, ,BEIGE,REAR END,STRIPPED,CA,AN,EXM,E,1GBKP37W3D3306568,0,E,0,0, , , , , ,DEFAULT,On Minimum Bid,0,VEH LOC @ FRUITRIDGE SUBLOT,SACRAMENTO,CA,95828,USA,USD,images.copart.com/website/data/pix/20150622/26383225_01.JPG,2016-05-29-12.30.47.210946, ,Y,1500
