Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price
108,FL - OCALA,20161220,TUESDAY,1000,EST,1166,16898630,V,2005,KIA,SORENTO,SORENTO EX,4DR SPOR,BLUE,MECHANICAL,FRONT END,FL,CD,YES,E,KNDJD733355391386,72169,A,10863,9038.34, , , , , ,DEFAULT, ,0, ,OCALA,FL,34482,USA,USD,images.copart.com/website/data/pix/20100711/16898630_1.JPG,2016-12-18-05.31.55.290958,SC003,N,0
11,TX - HOUSTON,20161230,FRIDAY,1200,CST,0,15006922,V,2007,CHEVROLET,SILVERADO,SILVERADO,CREW PIC,BLUE,BURN, ,TX,SV,YES,E,2GCEC13V871168798,114952,A,17900,12334.15,4.8L  8,Rear-wheel drive,4 SPEED AUTOMATIC W/,GAS,8,DEFAULT,On Approval,1150, ,HOUSTON,TX,77073,USA,USD,images.copart.com/website/data/pix/20110812/15006922_1.JPG,2016-12-18-05.31.55.290958, ,N,0
61,MI - DETROIT,20161220,TUESDAY,1000,EST,0,19450752,V,2005,CHEVROLET,UPLANDER,UPLANDER L,SPORTS V,SILVER,STRIPPED, ,MI,SB,YES,S,1GNDX33L05D258482,133875,E,8427,10539,3.5L  6,All wheel drive,4 SPEED AUTOMATIC W/,GAS,6,Vehicle Starts,On Approval,0, ,WOODHAVEN,MI,48183,USA,USD,images.copart.com/website/data/pix/20111116/19450752_1.JPG,2016-12-18-05.31.55.290958, ,N,0
17,KS - KANSAS CITY,20170105,THURSDAY,1200,CST,0,13575513,U,2006,KENWORTH,ALL MODELS,T2000,TRACTOR,RED,SIDE,FRONT END,MO,CD,YES,E,1XKTDB9X26J129877,859543,A,38692,0,14.6L  6,Rear-wheel drive, ,DIESEL,6,DEFAULT,On Minimum Bid,100, ,KANSAS CITY,KS,66111,USA,USD,images.copart.com/website/data/pix/20130131/13575513_1.JPG,2016-12-18-05.31.55.290958, ,N,0
49,UT - SALT LAKE CITY,20161223,FRIDAY,1200,MST,0,14310263,V,2009,MINI,COOPER,COOPER CLU,STATION,WHITE,BURN - ENGINE,BURN - INTERIOR,UT,NR,EXM,E,WMWMM93539TL04014,0,N,25395,0,1.6L  4,Front-wheel Drive,6 SPEED MANUAL,GAS,4,DEFAULT, ,0,VEH LOC @ OGDEN SUBLOT,NORTH SALT LAKE,UT,84054,USA,USD,images.copart.com/website/data/pix/20130212/14310263_1.JPG,2016-12-18-05.31.55.290958, ,N,0
61,MI - DETROIT,20161220,TUESDAY,1000,EST,0,14975263,V,2001,CADILLAC,DEVILLE,DEVILLE,SEDAN 4D,TAN,STRIPPED, ,MI,SB,EXM,E,1G6KD54Y61U255288,0,E,0,0,4.6L  8,Front-wheel Drive,4 SPEED AUTOMATIC W/,GAS,8,DEFAULT,On Approval,0, ,WOODHAVEN,MI,48183,USA,USD,images.copart.com/website/data/pix/20121019/14975263_1.JPG,2016-12-18-05.31.55.290958, ,N,0
61,MI - DETROIT,20161220,TUESDAY,1000,EST,0,17740633,V,2009,CHEVROLET,MALIBU,MALIBU LS,SEDAN 4D,BLUE,STRIPPED, ,MI,JB,EXM,E,1G1ZG57BX94272271,0,N,10822,0,2.4L  4,Front-wheel Drive,4 SPEED AUTOMATIC W/,GAS,4,DEFAULT,On Approval,0, ,WOODHAVEN,MI,48183,USA,USD,images.copart.com/website/data/pix/20121114/17740633_1.JPG,2016-12-18-05.31.55.290958, ,N,0
56,SC - COLUMBIA,20170113,FRIDAY,1000,EST,0,19183953,U,1990,OSHKOSH MOTOR TRUCK CO.,ALL MODELS,JOHN DEERE,INCOMPLE,BURN,BURN, ,SC,BS,EXM,E,17N131327LW025288,0,E,7000,20000,10.4L  8,Rear-wheel drive, ,DIESEL,8,DEFAULT, ,0, ,GASTON,SC,29053,USA,USD,images.copart.com/website/data/pix/20130509/19183953_1.JPG,2016-12-18-05.31.55.290958, ,N,0
105,FL - MIAMI CENTRAL,20161219,MONDAY,1000,EST,3030,19682763,V,2007,MERCEDES-BENZ,S550,S550,SEDAN 4D,BLACK,WATER/FLOOD,MECHANICAL,CA,SC,YES,E,WDDNG71X27A038698,56091,N,37885,13254,5.5L  8,Rear-wheel drive,UNKNOWN OTHER/AUTOMA,GAS,8,DEFAULT,On Minimum Bid,150, ,MIAMI,FL,33167,USA,USD,images.copart.com/website/data/pix/20130517/19682763_1.JPG,2016-12-18-05.31.55.290958,SD007,Y,12800
135,NJ - TRENTON,20170111,WEDNESDAY,1000,EST,0,20444783,V,2003,ACURA,MDX,MDX TOURIN,4DR SPOR,GRAY,WATER/FLOOD, ,NJ,SC,YES,E,2HNYD18753H506397,0,N,11875,0,3.5L  6,All wheel drive,UNKNOWN OTHER/AUTOMA,GAS,6,DEFAULT,On Minimum Bid,0, ,WINDSOR,NJ,8561,USA,USD,images.copart.com/website/data/pix/20130531/20444783_1.JPG,2016-12-18-05.31.55.290958, ,Y,2000
